artist_id,artist_name,genres
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,"['hip pop', 'neo soul', 'pop', 'pop christmas', 'post-teen pop', 'r&b', 'urban contemporary']"
6TZdvF1kFzwnQLgHQynzsO,Alien Ant Farm,"['alternative metal', 'alternative rock', 'funk metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock']"
4mBxoO0pAcMbAwuTcrcLMc,Alisha Chinai,"['desi', 'filmi', 'indian pop', 'sufi']"
5J6L7N6B4nI1M5cwa29mQG,Alison Krauss,"['bluegrass', 'contemporary country', 'country christmas', 'folk', 'lilith', 'progressive bluegrass']"
0OTnx2X2FDXeewcm72lavT,Alison Krauss & Union Station,"['bluegrass', 'progressive bluegrass']"
0s0rOb0gT2S9N0SDcjtPC4,Alison Moyet,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
6sIWmcJRaS1WZe5XPjRf0j,Alive 'N Kickin',['bubblegum pop']
5TDVKqW9uhqGjwwwKGuma4,All Saints,"['bubblegum dance', 'canadian pop', 'dance pop', 'europop', 'new wave pop', 'pop rock', 'uk garage']"
6imgPvjUxWkB5xtymEArjJ,All Star Tribute,['fake']
46gyXjRIvN1NL1eCB8GBxo,All Time Low,"['emo', 'modern rock', 'pop punk', 'post-teen pop', 'punk christmas']"
1B8ySGDAiXTCvnJNH4HSCG,All-4-One,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'soul christmas', 'urban contemporary']"
1tUALn7PEhW7LpMuxvat2x,Allan Kingdom,['underground hip hop']
1enLi8njBlk1YlDg44MtJm,Allan Sherman,['comic']
0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,['pop rap']
629Fs7UJp6tWqOYZi8t8ET,Alpharock,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room']"
0xliTEbFfy5HQHvsTknTkX,Alphaville,"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
1SCWcYnoEh1978ycTDhZoW,Alvin & The Chipmunks,"[""children's christmas"", ""children's music"", 'kids dance party']"
5wugb0kaq0J6nyQ5Xgd17i,Aly & AJ,"['dance pop', 'pop', 'post-teen pop']"
53Gnd3lGlcL8ua9Yyu9xDP,Amanda Cook,"['anthem worship', 'worship']"
11VRTR3lSXmFs5YZfmNOl7,Amanda Brown,['deep talent show']
2ON3fLFbL1rHfHEjeYNKsO,Amanda Marshall,"['canadian pop', 'lilith']"
5DqmNLPM1kAbSBQk2FMm6b,Amanda Perez,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']"
5wpS6LUdQYMoAreKITVtrH,Amazing Rhythm Aces,"['country rock', 'outlaw country', 'roots rock', 'southern rock']"
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,"['modern rock', 'pop', 'stomp pop']"
0MmnmsAuQKRFpo6vJElcaU,Amber Run,"['indie anthem-folk', 'indie folk']"
6YdYhEJqzEypHPI4KA0KyF,Amber Carrington,['deep talent show']
0J2Ej2rMQyqaUX3G6MUISw,Ambrosia,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
4hVcxmC7igpot32EzQf7IR,Amel Larrieux,"['deep indie r&b', 'indie r&b', 'neo soul', 'r&b', 'urban contemporary']"
35U9lQaRWSQISxQAB94Meo,America,"['album rock', 'art rock', 'classic rock', 'folk', 'folk christmas', 'folk rock', 'mellow gold', 'pop christmas', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
0MlOPi3zIDMVrfA9R04Fe3,American Authors,"['brooklyn indie', 'modern rock', 'neo mellow', 'pop rock']"
4XlcLj6bxCnpBIOHmBpIWP,American Hi-Fi,"['pop punk', 'pop rock']"
6kLiZDHCFJXdQNa1i7ywcQ,American Idol Finalists,['idol']
7xI9l2heJcFDlfzwUATUFr,American Idol Finalists - Season 4,['idol']
08rMCq2ek1YjdDBsCPVH2s,Amerie,"['dance pop', 'deep pop r&b', 'hip pop', 'indie r&b', 'neo soul', 'r&b', 'urban contemporary']"
7GPNaPWw3STF8NYp39pd8G,Amii Stewart,['disco']
6NzM38IkXdbQsQ4qW9CG7z,Amil,['hip pop']
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,"['hip hop', 'pop', 'pop rap', 'rap', 'trap music']"
72Nhcx7prNk2ZCxhx0Y5es,Amy Grant,"['ccm', 'christian alternative rock', 'christian christmas', 'christian music', 'pop christmas']"
29nLvGubwGVV9I4kF3nldc,Ana Olgica,['focus']
7K5Lm5dxoEwEpOS0Fc3l3s,Anaïs Mitchell,"['chamber pop', 'folk-pop', 'indie folk', 'stomp and holler']"
2siHvYaxjaW5rKVRiIrMYH,Anastacia,"['dance pop', 'europop']"
74V3dE1a51skRkdII8y2C6,André 3000,"['dirty south rap', 'southern hip hop']"
2tfWguHr2nj4e8KXLKciVq,André Previn,"['classical', 'orchestral']"
4mmEKUZZBwnzg4m6hizPyN,Andre Williams,"['garage rock', 'punk blues']"
23OBpHr3yXnMMCu13Fg1Oa,Andrea Burns,"['broadway', 'show tunes']"
3GHovBcEWpbnwCZDPF9GpM,Andrea True Connection,"['disco', 'soul christmas']"
5fmvGUlMVgmnCn45f1he7d,Andrew Gold,"['soft rock', 'underground power pop']"
716ZwtZBmwROBXcFmCzfdM,Andrew McMahon in the Wilderness,"['indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock']"
7s8YNE4OYY44nrlSTAKLOD,Andrew Ridgeley,['boy band']
4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'soft rock']"
2oX42qP5ineK3hrhBECLmj,Andy Grammer,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
7CyJIUpcWZK2zFM6gKLKvD,Andy Griggs,"['contemporary country', 'country', 'country road', 'modern country rock']"
5MYBNUKoFf9LAg30ByaBli,Andy Kim,"['brill building pop', 'bubblegum pop']"
52eo86qhuWj4zGGmof8smO,Andy Pratt,['folk christmas']
5xwYhjMTWJ66BjCvfcc6ii,Andy Stewart,['traditional scottish folk']
4sj6D0zlMOl25nprDJBiU9,Andy Williams,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'operatic pop', 'vocal jazz']"
6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,"['art pop', 'chamber pop', 'dream pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'neo-psychedelic', 'preverb', 'singer-songwriter', 'stomp and holler']"
1EIgKOrzyOQRB3l43EfymN,Angela Winbush,"['disco', 'funk', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'soul christmas', 'urban contemporary']"
2xMPv7r6uppYaOJBXoMIXs,Angelina,['freestyle']
6VJqy1YyzrK4ZhgGs9cNTy,Angie Martinez,['hip pop']
2hWr3AjjKOCVmWcwvuT4uM,Angie Stone,"['hip pop', 'neo soul', 'pop christmas', 'r&b', 'soul', 'urban contemporary']"
6eQHjJJa52LUGjBKP5UPos,Animotion,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
46CH1Gp8l8QVly8bpG9JFG,Anita Baker,"['classic funk rock', 'disco', 'funk', 'jazz christmas', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'soul christmas', 'urban contemporary']"
2M93P87MDGek6uzg7Jn7he,Anita Bryant,['deep adult standards']
3Dd6jD1AApgtNoU6SJWR7P,Anita Ward,['disco']
1Ig4eJhkfzDB2386DVJ0TQ,Ann Cole,['jump blues']
5dM7jA0PXh0Ozz8LT2YOCB,Ann Peebles,"['chicago soul', 'classic funk rock', 'deep funk', 'funk', 'jazz blues', 'memphis soul', 'motown', 'soul', 'soul blues', 'southern soul']"
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,['hollywood']
4LoM3lMauQ540MW9QiyIcR,Anna Nalick,"['acoustic pop', 'folk-pop', 'lilith', 'neo mellow', 'pop rock']"
0N41KJ4H6bkPAm2tx7VS8C,Anna Wise,"['deep indie r&b', 'escape room', 'indie r&b']"
0nIyPY7J7G68WgQEOLHn0x,Anne Hathaway,"['hollywood', 'show tunes']"
7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray,"['adult standards', 'bubblegum pop', 'canadian country', 'canadian pop', 'country christmas', 'folk', 'folk christmas', 'folk rock', 'mellow gold', 'nashville sound', 'soft rock']"
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,"['dance pop', 'pop', 'post-teen pop', 'tropical house']"
3ECxfxbxwRMTXdy1I5HWJq,Annette Moreno,['latin christian']
5MspMQqdVbdwP6ax3GXqum,Annie Lennox,"['dance pop', 'folk', 'folk christmas', 'lilith', 'mellow gold', 'new romantic', 'new wave pop', 'pop christmas', 'pop rock', 'singer-songwriter', 'soft rock']"
454VBUMshEg0sxzoWKTYbT,Another Bad Creation,"['boy band', 'new jack swing']"
3PF1KBeHYb14yKgsiE693V,Little Anthony & The Imperials,"['adult standards', 'brill building pop', 'chicago soul', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']"
2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton,"['dance pop', 'funk', 'hip pop', 'indie r&b', 'neo soul', 'new jack swing', 'pop christmas', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
6xYBLeSMu1AqPsnUzEvx5n,Anya Marina,"['acoustic pop', 'folk-pop']"
0AEDwJyvLfojF4iKEmJDMT,Anything Box,"['deep new wave', 'neo-synthpop', 'new romantic', 'new wave', 'synthpop']"
